epoch,train_mse,validation_mse
1,1.053776486159919,1.3892569541931152
2,0.9805145204233106,1.2868545055389404
3,0.8936165600793924,1.1110373735427856
4,0.7478266954836686,0.7542346715927124
5,0.49167754449959367,0.2153329998254776
6,0.276099764073271,0.11525141447782516
7,0.23676283964420736,0.2441718876361847
8,0.23509875805236413,0.17923343181610107
9,0.20905552481012574,0.09287544339895248
10,0.19488713974634217,0.13586731255054474
11,0.18495555235857425,0.10646440088748932
12,0.1705716006278107,0.0933486670255661
13,0.16041721243252338,0.10075674206018448
14,0.153069429002799,0.08622165024280548
15,0.14393228344992495,0.09040090441703796
16,0.13707482416687294,0.08222442120313644
17,0.12973586720084437,0.08472327142953873
18,0.12420698394912515,0.07775132358074188
19,0.11771216872450593,0.08173425495624542
20,0.11319852346668438,0.0728752464056015
21,0.10678558149729235,0.08113138377666473
22,0.10376509649468264,0.06713217496871948
23,0.09674619978677364,0.08506731688976288
24,0.0972291699201145,0.061983466148376465
25,0.08882697255580456,0.08917959779500961
26,0.0956001144199734,0.05985106900334358
27,0.08440629587766191,0.07297291606664658
28,0.0887515449720212,0.07096156477928162
29,0.0816329633315994,0.06066130846738815
30,0.0799048341506598,0.12890943884849548
31,0.09822156108183189,0.0567837618291378
32,0.07549748284973772,0.06847067177295685
33,0.08170673940227072,0.06599186360836029
34,0.07314022528163135,0.058146025985479355
35,0.07283715721986952,0.11131802946329117
36,0.08486332613732908,0.0545368567109108
37,0.06820953751401025,0.06437075883150101
38,0.0733609996141662,0.06512510031461716
39,0.0663139098332521,0.056858181953430176
40,0.06709637601405437,0.10651399195194244
41,0.07838886498658466,0.053541943430900574
42,0.06231193169122061,0.05706193298101425
43,0.06537585392774035,0.07252867519855499
44,0.06298445973801038,0.05851190164685249
45,0.06367123462190655,0.0950874462723732
46,0.07455922252669626,0.05308421328663826
47,0.059088389325285665,0.0535033717751503
48,0.06118858454261728,0.0758584663271904
49,0.06137757317088752,0.053992487490177155
50,0.05757463856812753,0.07685115933418274
51,0.06237055460105137,0.05268118530511856
52,0.05452386857267877,0.05316279083490372
53,0.056668286168591875,0.07239490002393723
54,0.05662534926052107,0.05473298579454422
55,0.05489737140308506,0.07416783273220062
56,0.05981535002492465,0.05313270911574364
57,0.0523362424507986,0.052666470408439636
58,0.053895143729829835,0.07147980481386185
59,0.05451620882636209,0.05345594137907028
60,0.052103602384426156,0.06742465496063232
61,0.054501305294528964,0.05379611626267433
62,0.0496742852750979,0.05290496349334717
63,0.05058863054414959,0.06724543124437332
64,0.0513175668329664,0.052824974060058594
65,0.04957114885766785,0.06357875466346741
66,0.05161757375319283,0.05445268377661705
67,0.04850689889534838,0.05285325646400452
68,0.04926138202934517,0.0667598769068718
69,0.050494434028615094,0.052744705229997635
70,0.04883282867662871,0.0617806576192379
71,0.05093876991925523,0.05503125488758087
72,0.048307555947100296,0.05263114348053932
73,0.048909070568093564,0.06689117848873138
74,0.0504304565772663,0.05250957980751991
75,0.048575617825691905,0.060796961188316345
76,0.0503511430802781,0.0549052469432354
77,0.04803499164394965,0.052569564431905746
78,0.04852849592373522,0.06486190110445023
79,0.049694626096200636,0.0522950142621994
80,0.048085744622299975,0.060538049787282944
81,0.04956024995761369,0.054028961807489395
82,0.04750638491092232,0.05292918533086777
83,0.04799904404052556,0.061647217720746994
84,0.048549291904124124,0.05224011838436127
85,0.04753555327045674,0.06051471456885338
86,0.04888195691350329,0.053242068737745285
87,0.04711165766064112,0.053644031286239624
88,0.04769250909505837,0.059225112199783325
89,0.04775493421655749,0.05225137621164322
90,0.04721332129249989,0.06083115190267563
91,0.04854547834725349,0.05263923853635788
92,0.0469527391540595,0.0545731820166111
93,0.04772006339481678,0.0575229786336422
94,0.04733190191339473,0.05223171412944794
95,0.047128657172805524,0.061657968908548355
96,0.04848067161449143,0.052155300974845886
97,0.046982152798733155,0.05608541890978813
98,0.048072997179981286,0.05580912530422211
99,0.04712883672626872,0.052221886813640594
100,0.04726448603292343,0.06247928366065025
101,0.04847270384057665,0.05195998400449753
102,0.04716255983375773,0.05891070514917374
103,0.04870172283147394,0.05368912220001221
104,0.047086261879784055,0.05254388228058815
105,0.04762662604368242,0.061389997601509094
106,0.04813021361993726,0.05209226906299591
107,0.0473539687706942,0.06273017078638077
108,0.04916930260872797,0.051976997405290604
109,0.0471002553107566,0.054556138813495636
110,0.048057791916912694,0.057067301124334335
111,0.047303081353597606,0.05204589664936066
112,0.04732225564738705,0.06325304508209229
113,0.04856632990980303,0.05173730105161667
114,0.04698750161754178,0.05892371013760567
115,0.04824527188554987,0.05302141234278679
116,0.046616359501524186,0.05306161567568779
117,0.04718757205139949,0.058517616242170334
118,0.04710052321372979,0.051986757665872574
119,0.04670245060438017,0.06126053258776665
120,0.04781776897830401,0.05180790647864342
121,0.04635890239438453,0.05666134133934975
122,0.04730784189446738,0.053929403424263
123,0.04622648723409658,0.05276423692703247
124,0.04659250302236797,0.058834102004766464
125,0.04678975781408555,0.05198252573609352
126,0.04624714262451776,0.06035098806023598
127,0.04737603258002888,0.05197807401418686
128,0.04606627258567177,0.0559610016644001
129,0.04699918910073106,0.054538119584321976
130,0.046095311717719446,0.0525958277285099
131,0.04638422751567691,0.05986699089407921
132,0.04679021855439569,0.05200739577412605
133,0.04615495679122508,0.06123682111501694
